"時間","人口數(人) / 區域別總計 ","人口數(人) / 新北市 ","人口數(人) / 臺北縣 ","人口數(人) / 臺北市 ","人口數(人) / 桃園市 ","人口數(人) / 桃園縣(103年改制前) ","人口數(人) / 臺中市 ","人口數(人) / 臺中市(99年改制前) ","人口數(人) / 臺中縣 ","人口數(人) / 臺南市 ","人口數(人) / 臺南市(99年改制前) ","人口數(人) / 臺南縣 ","人口數(人) / 高雄市 ","人口數(人) / 高雄市(99年改制前) ","人口數(人) / 高雄縣 ","人口數(人) / 宜蘭縣 ","人口數(人) / 新竹縣 ","人口數(人) / 苗栗縣 ","人口數(人) / 彰化縣 ","人口數(人) / 南投縣 ","人口數(人) / 雲林縣 ","人口數(人) / 嘉義縣 ","人口數(人) / 屏東縣 ","人口數(人) / 臺東縣 ","人口數(人) / 花蓮縣 ","人口數(人) / 澎湖縣 ","人口數(人) / 基隆市 ","人口數(人) / 新竹市 ","人口數(人) / 嘉義市 ","人口數(人) / 金門縣 ","人口數(人) / 連江縣 ","總增加率(o/oo) / 區域別總計 ","總增加率(o/oo) / 新北市 ","總增加率(o/oo) / 臺北縣 ","總增加率(o/oo) / 臺北市 ","總增加率(o/oo) / 桃園市 ","總增加率(o/oo) / 桃園縣(103年改制前) ","總增加率(o/oo) / 臺中市 ","總增加率(o/oo) / 臺中市(99年改制前) ","總增加率(o/oo) / 臺中縣 ","總增加率(o/oo) / 臺南市 ","總增加率(o/oo) / 臺南市(99年改制前) ","總增加率(o/oo) / 臺南縣 ","總增加率(o/oo) / 高雄市 ","總增加率(o/oo) / 高雄市(99年改制前) ","總增加率(o/oo) / 高雄縣 ","總增加率(o/oo) / 宜蘭縣 ","總增加率(o/oo) / 新竹縣 ","總增加率(o/oo) / 苗栗縣 ","總增加率(o/oo) / 彰化縣 ","總增加率(o/oo) / 南投縣 ","總增加率(o/oo) / 雲林縣 ","總增加率(o/oo) / 嘉義縣 ","總增加率(o/oo) / 屏東縣 ","總增加率(o/oo) / 臺東縣 ","總增加率(o/oo) / 花蓮縣 ","總增加率(o/oo) / 澎湖縣 ","總增加率(o/oo) / 基隆市 ","總增加率(o/oo) / 新竹市 ","總增加率(o/oo) / 嘉義市 ","總增加率(o/oo) / 金門縣 ","總增加率(o/oo) / 連江縣 ","自然增加率(o/oo) / 區域別總計 ","自然增加率(o/oo) / 新北市 ","自然增加率(o/oo) / 臺北縣 ","自然增加率(o/oo) / 臺北市 ","自然增加率(o/oo) / 桃園市 ","自然增加率(o/oo) / 桃園縣(103年改制前) ","自然增加率(o/oo) / 臺中市 ","自然增加率(o/oo) / 臺中市(99年改制前) ","自然增加率(o/oo) / 臺中縣 ","自然增加率(o/oo) / 臺南市 ","自然增加率(o/oo) / 臺南市(99年改制前) ","自然增加率(o/oo) / 臺南縣 ","自然增加率(o/oo) / 高雄市 ","自然增加率(o/oo) / 高雄市(99年改制前) ","自然增加率(o/oo) / 高雄縣 ","自然增加率(o/oo) / 宜蘭縣 ","自然增加率(o/oo) / 新竹縣 ","自然增加率(o/oo) / 苗栗縣 ","自然增加率(o/oo) / 彰化縣 ","自然增加率(o/oo) / 南投縣 ","自然增加率(o/oo) / 雲林縣 ","自然增加率(o/oo) / 嘉義縣 ","自然增加率(o/oo) / 屏東縣 ","自然增加率(o/oo) / 臺東縣 ","自然增加率(o/oo) / 花蓮縣 ","自然增加率(o/oo) / 澎湖縣 ","自然增加率(o/oo) / 基隆市 ","自然增加率(o/oo) / 新竹市 ","自然增加率(o/oo) / 嘉義市 ","自然增加率(o/oo) / 金門縣 ","自然增加率(o/oo) / 連江縣 ","社會增加率(o/oo) / 區域別總計 ","社會增加率(o/oo) / 新北市 ","社會增加率(o/oo) / 臺北縣 ","社會增加率(o/oo) / 臺北市 ","社會增加率(o/oo) / 桃園市 ","社會增加率(o/oo) / 桃園縣(103年改制前) ","社會增加率(o/oo) / 臺中市 ","社會增加率(o/oo) / 臺中市(99年改制前) ","社會增加率(o/oo) / 臺中縣 ","社會增加率(o/oo) / 臺南市 ","社會增加率(o/oo) / 臺南市(99年改制前) ","社會增加率(o/oo) / 臺南縣 ","社會增加率(o/oo) / 高雄市 ","社會增加率(o/oo) / 高雄市(99年改制前) ","社會增加率(o/oo) / 高雄縣 ","社會增加率(o/oo) / 宜蘭縣 ","社會增加率(o/oo) / 新竹縣 ","社會增加率(o/oo) / 苗栗縣 ","社會增加率(o/oo) / 彰化縣 ","社會增加率(o/oo) / 南投縣 ","社會增加率(o/oo) / 雲林縣 ","社會增加率(o/oo) / 嘉義縣 ","社會增加率(o/oo) / 屏東縣 ","社會增加率(o/oo) / 臺東縣 ","社會增加率(o/oo) / 花蓮縣 ","社會增加率(o/oo) / 澎湖縣 ","社會增加率(o/oo) / 基隆市 ","社會增加率(o/oo) / 新竹市 ","社會增加率(o/oo) / 嘉義市 ","社會增加率(o/oo) / 金門縣 ","社會增加率(o/oo) / 連江縣 "
"86年"," 21,742,815","  3,420,535","  3,420,535","  2,598,493","  1,614,471","  1,614,471","  2,349,722","    901,961","  1,447,761","  1,814,062","    717,811","  1,096,251","  2,663,302","  1,436,142","  1,227,160","    466,603","    421,721","    560,344","  1,297,744","    546,707","    751,913","    567,695","    913,764","    253,002","    358,077","     91,169","    379,370","    351,800","    262,822","     51,080","      8,419","   10.05","   19.26","   19.26","   -2.64","   27.64","   27.64","   19.75","   28.76","   14.18","    7.82","    9.60","    6.65","    8.13","    1.76","   15.63","    3.18","   16.23","    0.44","    4.06","    1.90","   -0.68","    3.52","    1.00","   -3.27","   -1.63","   11.94","   13.72","   16.76","   -0.14","   63.76","  325.69","    9.48","   10.04","   10.04","    8.73","   12.03","   12.03","   11.48","   11.69","   11.35","    7.77","    7.95","    7.66","    8.75","    8.35","    9.23","    9.36","   12.15","    9.20","    9.78","    8.83","    8.86","    8.84","    8.12","    6.51","    6.48","    6.18","    8.23","   10.66","    8.69","    5.96","    7.46","    0.57","    9.21","    9.21","  -11.37","   15.61","   15.61","    8.28","   17.08","    2.83","    0.04","    1.65","   -1.01","   -0.62","   -6.59","    6.40","   -6.17","    4.08","   -8.76","   -5.72","   -6.92","   -9.54","   -5.32","   -7.11","   -9.79","   -8.11","    5.76","    5.49","    6.10","   -8.83","   57.80","  318.23"
"86年 1月"," 21,537,860","  3,358,415","  3,358,415","  2,603,076","  1,573,985","  1,573,985","  2,307,447","    878,208","  1,429,239","  1,801,085","    711,383","  1,089,702","  2,643,541","  1,434,564","  1,208,977","    465,398","    415,240","    560,067","  1,292,658","    545,685","    752,339","    565,733","    913,189","    253,719","    358,579","     89,970","    374,479","    346,262","    263,065","     47,970","      5,958","    0.58","    0.93","    0.93","   -0.88","    2.24","    2.24","    1.60","    2.08","    1.30","    0.64","    0.60","    0.66","    0.68","    0.66","    0.70","    0.60","    0.74","   -0.06","    0.14","    0.03","   -0.12","    0.06","    0.37","   -0.44","   -0.23","   -1.30","    0.75","    0.89","    0.78","    0.96","  -17.14","    0.79","    0.86","    0.86","    0.71","    1.00","    1.00","    0.99","    1.00","    0.99","    0.58","    0.72","    0.49","    0.71","    0.65","    0.78","    0.75","    0.89","    0.81","    0.86","    0.73","    0.70","    0.68","    0.78","    0.61","    0.47","    0.40","    0.70","    0.96","    0.73","    0.52","    0.83","   -0.21","    0.07","    0.07","   -1.60","    1.25","    1.25","    0.61","    1.08","    0.32","    0.05","   -0.12","    0.17","   -0.04","    0.00","   -0.08","   -0.16","   -0.14","   -0.86","   -0.73","   -0.70","   -0.81","   -0.62","   -0.41","   -1.05","   -0.70","   -1.70","    0.05","   -0.07","    0.05","    0.44","  -17.97"
"86年 2月"," 21,550,339","  3,363,363","  3,363,363","  2,601,605","  1,576,838","  1,576,838","  2,310,618","    879,877","  1,430,741","  1,802,099","    711,837","  1,090,262","  2,645,301","  1,435,083","  1,210,218","    465,228","    415,554","    559,976","  1,292,920","    545,688","    752,064","    565,678","    913,243","    253,449","    358,424","     89,855","    374,756","    346,468","    263,283","     47,968","      5,961","    0.58","    1.47","    1.47","   -0.57","    1.81","    1.81","    1.37","    1.90","    1.05","    0.56","    0.64","    0.51","    0.67","    0.36","    1.03","   -0.37","    0.76","   -0.16","    0.20","    0.01","   -0.37","   -0.10","    0.06","   -1.06","   -0.43","   -1.28","    0.74","    0.59","    0.83","   -0.04","    0.50","    0.64","    0.71","    0.71","    0.60","    0.76","    0.76","    0.78","    0.82","    0.75","    0.50","    0.61","    0.42","    0.56","    0.54","    0.60","    0.49","    0.86","    0.54","    0.68","    0.54","    0.66","    0.64","    0.56","    0.54","    0.46","    0.38","    0.50","    0.72","    0.68","    0.52","    0.67","   -0.06","    0.76","    0.76","   -1.16","    1.05","    1.05","    0.59","    1.07","    0.30","    0.07","    0.03","    0.09","    0.10","   -0.17","    0.43","   -0.86","   -0.10","   -0.70","   -0.48","   -0.54","   -1.02","   -0.74","   -0.50","   -1.60","   -0.89","   -1.66","    0.23","   -0.13","    0.15","   -0.56","   -0.17"
"86年 3月"," 21,556,650","  3,367,000","  3,367,000","  2,595,699","  1,580,759","  1,580,759","  2,314,033","    881,870","  1,432,163","  1,802,732","    712,172","  1,090,560","  2,646,347","  1,434,907","  1,211,440","    465,085","    416,010","    559,786","  1,293,125","    545,596","    751,552","    565,302","    913,035","    253,274","    358,202","     89,731","    374,874","    346,979","    263,549","     48,020","      5,960","    0.29","    1.08","    1.08","   -2.27","    2.48","    2.48","    1.48","    2.26","    0.99","    0.35","    0.47","    0.27","    0.40","   -0.12","    1.01","   -0.31","    1.10","   -0.34","    0.16","   -0.17","   -0.68","   -0.66","   -0.23","   -0.69","   -0.62","   -1.38","    0.31","    1.47","    1.01","    1.08","   -0.17","    0.73","    0.85","    0.85","    0.66","    0.95","    0.95","    0.82","    0.85","    0.80","    0.57","    0.61","    0.54","    0.69","    0.66","    0.72","    0.77","    0.95","    0.76","    0.69","    0.59","    0.62","    0.69","    0.65","    0.53","    0.48","    0.37","    0.54","    0.70","    0.79","    0.04","    0.84","   -0.43","    0.23","    0.23","   -2.93","    1.53","    1.53","    0.66","    1.41","    0.20","   -0.22","   -0.14","   -0.27","   -0.29","   -0.78","    0.28","   -1.08","    0.15","   -1.10","   -0.53","   -0.76","   -1.30","   -1.36","   -0.88","   -1.22","   -1.10","   -1.75","   -0.23","    0.77","    0.22","    1.04","   -1.01"
"86年 4月"," 21,568,304","  3,371,698","  3,371,698","  2,593,216","  1,583,883","  1,583,883","  2,317,429","    883,670","  1,433,759","  1,803,659","    712,723","  1,090,936","  2,647,835","  1,434,518","  1,213,317","    465,133","    416,582","    559,626","  1,293,421","    545,578","    751,267","    565,044","    912,623","    253,136","    358,078","     89,591","    375,166","    347,415","    263,737","     48,165","      6,022","    0.54","    1.39","    1.39","   -0.96","    1.97","    1.97","    1.47","    2.04","    1.11","    0.51","    0.77","    0.34","    0.56","   -0.27","    1.55","    0.10","    1.37","   -0.29","    0.23","   -0.03","   -0.38","   -0.46","   -0.45","   -0.55","   -0.35","   -1.56","    0.78","    1.26","    0.71","    3.02","   10.35","    0.72","    0.77","    0.77","    0.69","    0.94","    0.94","    0.92","    0.92","    0.93","    0.54","    0.56","    0.53","    0.74","    0.71","    0.78","    0.56","    0.97","    0.59","    0.68","    0.62","    0.70","    0.63","    0.53","    0.54","    0.56","    0.32","    0.63","    0.81","    0.70","    0.04","    0.67","   -0.18","    0.62","    0.62","   -1.65","    1.03","    1.03","    0.54","    1.12","    0.19","   -0.02","    0.22","   -0.18","   -0.18","   -0.98","    0.77","   -0.46","    0.40","   -0.88","   -0.45","   -0.65","   -1.08","   -1.08","   -0.98","   -1.08","   -0.91","   -1.88","    0.15","    0.45","    0.02","    2.97","    9.68"
"86年 5月"," 21,582,216","  3,377,140","  3,377,140","  2,590,520","  1,587,400","  1,587,400","  2,321,533","    886,288","  1,435,245","  1,804,411","    713,264","  1,091,147","  2,649,580","  1,434,984","  1,214,596","    465,116","    417,075","    559,474","  1,293,485","    545,603","    751,011","    565,160","    912,362","    253,137","    358,037","     89,583","    375,733","    347,763","    263,647","     48,357","      6,089","    0.64","    1.61","    1.61","   -1.04","    2.22","    2.22","    1.77","    2.96","    1.04","    0.42","    0.76","    0.19","    0.66","    0.32","    1.05","   -0.04","    1.18","   -0.27","    0.05","    0.05","   -0.34","    0.21","   -0.29","    0.00","   -0.11","   -0.09","    1.51","    1.00","   -0.34","    3.98","   11.06","    0.74","    0.78","    0.78","    0.66","    1.00","    1.00","    0.90","    0.90","    0.90","    0.60","    0.58","    0.61","    0.66","    0.63","    0.70","    0.74","    1.06","    0.66","    0.75","    0.64","    0.66","    0.80","    0.62","    0.33","    0.48","    0.46","    0.75","    0.77","    0.69","    0.44","    0.50","   -0.09","    0.83","    0.83","   -1.70","    1.22","    1.22","    0.87","    2.05","    0.14","   -0.18","    0.18","   -0.41","   -0.00","   -0.31","    0.36","   -0.78","    0.13","   -0.93","   -0.70","   -0.59","   -1.00","   -0.59","   -0.91","   -0.33","   -0.59","   -0.55","    0.76","    0.24","   -1.04","    3.54","   10.57"
"86年 6月"," 21,600,151","  3,382,642","  3,382,642","  2,590,766","  1,591,302","  1,591,302","  2,326,132","    889,527","  1,436,605","  1,805,857","    714,022","  1,091,835","  2,650,929","  1,435,135","  1,215,794","    465,367","    417,477","    558,899","  1,292,927","    545,396","    751,453","    564,831","    912,290","    253,018","    358,130","     89,655","    376,263","    348,376","    263,819","     48,475","      6,147","    0.83","    1.63","    1.63","    0.09","    2.46","    2.46","    1.98","    3.65","    0.95","    0.80","    1.06","    0.63","    0.51","    0.11","    0.99","    0.54","    0.96","   -1.03","   -0.43","   -0.38","    0.59","   -0.58","   -0.08","   -0.47","    0.26","    0.80","    1.41","    1.76","    0.65","    2.44","    9.48","    0.74","    0.83","    0.83","    0.65","    0.88","    0.88","    0.89","    0.90","    0.89","    0.59","    0.59","    0.59","    0.68","    0.66","    0.71","    0.83","    1.01","    0.73","    0.79","    0.77","    0.70","    0.70","    0.53","    0.44","    0.54","    0.71","    0.69","    0.87","    0.69","    0.23","       -","    0.09","    0.80","    0.80","   -0.56","    1.57","    1.57","    1.09","    2.75","    0.06","    0.21","    0.47","    0.04","   -0.17","   -0.55","    0.27","   -0.29","   -0.05","   -1.76","   -1.22","   -1.15","   -0.11","   -1.28","   -0.61","   -0.91","   -0.28","    0.09","    0.72","    0.89","   -0.03","    2.21","    9.48"
"86年 7月"," 21,625,050","  3,388,741","  3,388,741","  2,593,181","  1,595,481","  1,595,481","  2,330,377","    891,981","  1,438,396","  1,807,377","    715,033","  1,092,344","  2,652,794","  1,435,133","  1,217,661","    465,828","    418,140","    558,936","  1,292,791","    545,557","    751,537","    566,725","    912,445","    252,911","    357,972","     89,731","    376,710","    349,150","    263,085","     48,700","      6,881","    1.15","    1.80","    1.80","    0.93","    2.62","    2.62","    1.82","    2.75","    1.25","    0.84","    1.41","    0.47","    0.70","   -0.00","    1.53","    0.99","    1.59","    0.07","   -0.11","    0.30","    0.11","    3.35","    0.17","   -0.42","   -0.44","    0.85","    1.19","    2.22","   -2.79","    4.63","  112.68","    0.80","    0.89","    0.89","    0.71","    1.08","    1.08","    0.94","    0.97","    0.92","    0.62","    0.66","    0.59","    0.74","    0.68","    0.81","    0.88","    0.93","    0.79","    0.79","    0.74","    0.70","    0.67","    0.74","    0.57","    0.50","    0.55","    0.68","    0.92","    0.62","    0.56","    0.31","    0.36","    0.91","    0.91","    0.23","    1.55","    1.55","    0.88","    1.78","    0.33","    0.22","    0.75","   -0.12","   -0.03","   -0.68","    0.72","    0.11","    0.66","   -0.73","   -0.89","   -0.44","   -0.59","    2.68","   -0.57","   -0.99","   -0.94","    0.30","    0.51","    1.30","   -3.41","    4.08","  112.37"
"86年 8月"," 21,648,130","  3,392,754","  3,392,754","  2,596,155","  1,599,499","  1,599,499","  2,334,648","    894,653","  1,439,995","  1,808,888","    715,716","  1,093,172","  2,654,891","  1,435,113","  1,219,778","    466,250","    418,998","    559,108","  1,293,474","    545,571","    751,818","    566,673","    912,313","    252,728","    358,202","     89,989","    377,112","    349,794","    263,094","     49,069","      7,102","    1.07","    1.18","    1.18","    1.15","    2.52","    2.52","    1.83","    2.99","    1.11","    0.84","    0.95","    0.76","    0.79","   -0.01","    1.74","    0.91","    2.05","    0.31","    0.53","    0.03","    0.37","   -0.09","   -0.14","   -0.72","    0.64","    2.87","    1.07","    1.84","    0.03","    7.55","   31.61","    0.74","    0.77","    0.77","    0.61","    0.97","    0.97","    0.89","    0.95","    0.86","    0.61","    0.59","    0.62","    0.68","    0.69","    0.68","    0.74","    1.02","    0.71","    0.72","    0.77","    0.76","    0.61","    0.68","    0.40","    0.42","    0.55","    0.71","    1.00","    0.65","    0.59","       -","    0.33","    0.41","    0.41","    0.53","    1.55","    1.55","    0.94","    2.04","    0.25","    0.23","    0.36","    0.14","    0.11","   -0.70","    1.06","    0.17","    1.03","   -0.41","   -0.19","   -0.75","   -0.39","   -0.70","   -0.82","   -1.12","    0.22","    2.33","    0.36","    0.85","   -0.62","    6.96","   31.61"
"86年 9月"," 21,673,770","  3,400,280","  3,400,280","  2,596,540","  1,603,476","  1,603,476","  2,338,543","    896,708","  1,441,835","  1,810,158","    716,232","  1,093,926","  2,655,929","  1,432,228","  1,223,701","    466,230","    419,738","    559,147","  1,294,685","    545,463","    752,004","    566,933","    913,218","    252,480","    357,833","     91,032","    378,091","    350,412","    262,838","     50,070","      8,670","    1.18","    2.22","    2.22","    0.15","    2.48","    2.48","    1.67","    2.29","    1.28","    0.70","    0.72","    0.69","    0.39","   -2.01","    3.21","   -0.04","    1.76","    0.07","    0.94","   -0.20","    0.25","    0.46","    0.99","   -0.98","   -1.03","   11.52","    2.59","    1.77","   -0.97","   20.19","  198.83","    0.86","    0.86","    0.86","    0.80","    1.01","    1.01","    1.02","    1.01","    1.02","    0.80","    0.77","    0.81","    0.81","    0.77","    0.86","    0.87","    1.03","    0.92","    0.95","    0.86","    0.81","    0.79","    0.81","    0.52","    0.52","    0.54","    0.72","    0.94","    0.68","    0.59","    1.27","    0.32","    1.35","    1.35","   -0.65","    1.48","    1.48","    0.65","    1.29","    0.25","   -0.09","   -0.05","   -0.12","   -0.42","   -2.78","    2.35","   -0.91","    0.73","   -0.85","   -0.01","   -1.06","   -0.56","   -0.33","    0.18","   -1.50","   -1.55","   10.98","    1.87","    0.83","   -1.65","   19.61","  197.57"
